Time_hr	Pwf_psi	Delta_P_psi	Phase
0	4500	0	Drawdown
0.000277778	4498.312918	1.687081588	Drawdown
0.000555556	4497.621296	2.378703983	Drawdown
0.001388889	4496.261239	3.738760866	Drawdown
0.002777778	4494.747574	5.252425988	Drawdown
0.008333333	4491.049642	8.950357511	Drawdown
0.016666667	4487.538171	12.46182916	Drawdown
0.033333333	4482.750368	17.24963243	Drawdown
0.083333333	4473.812355	26.18764458	Drawdown
0.166666667	4464.527032	35.47296829	Drawdown
0.5	4444.256275	55.74372536	Drawdown
1	4427.513167	72.48683285	Drawdown
1.229493414	4421.909775	78.09022544	Drawdown
1.511654054	4416.028393	83.97160716	Drawdown
1.858568704	4409.874129	90.12587121	Drawdown
2	4407.625106	92.37489427	Drawdown
2.28509798	4403.454011	96.54598866	Drawdown
2.809512916	4396.77687	103.22313	Drawdown
3	4394.604604	105.3953961	Drawdown
3.454277626	4389.853163	110.146837	Drawdown
4	4384.794344	115.2056558	Drawdown
4.24701159	4382.694763	117.3052371	Drawdown
5	4376.88199	123.1180101	Drawdown
5.221672778	4375.314707	124.685293	Drawdown
6	4370.233854	129.7661458	Drawdown
6.420012289	4367.726925	132.2730746	Drawdown
7	4364.492228	135.5077721	Drawdown
7.893362825	4359.945957	140.0540425	Drawdown
8	4359.434238	140.5657625	Drawdown
9	4354.911148	145.088852	Drawdown
9.704837605	4351.98667	148.0133298	Drawdown
10	4350.81853	149.1814704	Drawdown
11	4347.080131	152.9198691	Drawdown
11.93203392	4343.863988	156.1360122	Drawdown
12	4343.638511	156.3614887	Drawdown
13	4340.449285	159.5507151	Drawdown
14	4337.477419	162.522581	Drawdown
14.67035711	4335.592645	164.4073554	Drawdown
15	4334.694764	165.3052363	Drawdown
16	4332.078349	167.9216506	Drawdown
17	4329.609182	170.3908176	Drawdown
18	4327.271373	172.7286272	Drawdown
18.03710745	4327.186968	172.8130319	Drawdown
19	4325.051489	174.9485106	Drawdown
20	4322.938075	177.0619248	Drawdown
21	4320.921277	179.0787234	Drawdown
22	4318.992556	181.0074438	Drawdown
22.17650481	4318.660697	181.3393031	Drawdown
23	4317.144467	182.8555327	Drawdown
24	4315.370475	184.6295248	Drawdown
25	4313.664813	186.3351869	Drawdown
26	4312.022366	187.9776338	Drawdown
27	4310.438576	189.5614238	Drawdown
27.2658666	4310.026841	189.9731587	Drawdown
28	4308.909364	191.0906364	Drawdown
29	4307.431062	192.5689378	Drawdown
30	4306.000365	193.9996348	Drawdown
31	4304.614279	195.3857207	Drawdown
32	4303.270087	196.7299134	Drawdown
33	4301.965311	198.0346889	Drawdown
33.5232034	4301.297589	198.702411	Drawdown
34	4300.697691	199.3023088	Drawdown
35	4299.465154	200.5348461	Drawdown
36	4298.265799	201.7342007	Drawdown
37	4297.097875	202.9021246	Drawdown
38	4295.959767	204.0402331	Drawdown
39	4294.84998	205.1500198	Drawdown
40	4293.767132	206.232868	Drawdown
41	4292.709938	207.2900619	Drawdown
41.21655779	4292.484256	207.515744	Drawdown
42	4291.677204	208.3227957	Drawdown
43	4290.667818	209.3321818	Drawdown
44	4289.680742	210.319258	Drawdown
45	4288.715006	211.2849943	Drawdown
46	4287.769702	212.2302985	Drawdown
47	4286.843978	213.1560216	Drawdown
48	4285.937038	214.0629622	Drawdown
49	4285.048129	214.9518711	Drawdown
50	4284.176545	215.8234547	Drawdown
50.67548634	4283.597269	216.402731	Drawdown
51	4283.321621	216.6783787	Drawdown
52	4282.482744	217.5172557	Drawdown
53	4281.659294	218.3407059	Drawdown
54	4280.850723	219.1492773	Drawdown
55	4280.0565	219.9435005	Drawdown
56	4279.276122	220.723878	Drawdown
57	4278.509113	221.4908865	Drawdown
58	4277.755022	222.2449783	Drawdown
59	4277.013417	222.9865831	Drawdown
60	4276.283891	223.7161095	Drawdown
61	4275.566054	224.4339464	Drawdown
62	4274.859536	225.140464	Drawdown
62.30517669	4274.646123	225.353877	Drawdown
63	4274.163984	225.8360155	Drawdown
64	4273.479062	226.5209375	Drawdown
65	4272.804448	227.1955515	Drawdown
66	4272.139835	227.8601645	Drawdown
67	4271.48493	228.51507	Drawdown
68	4270.839451	229.1605489	Drawdown
69	4270.20313	229.7968698	Drawdown
70	4269.575634	230.4243661	Drawdown
71	4268.956855	231.0431447	Drawdown
72	4268.346492	231.6535077	Drawdown
73	4267.744318	232.2556821	Drawdown
74	4267.150114	232.8498862	Drawdown
75	4266.563671	233.4363293	Drawdown
76	4265.984787	234.015213	Drawdown
76.60380438	4265.638833	234.3611669	Drawdown
77	4265.413269	234.5867308	Drawdown
78	4264.848931	235.1510691	Drawdown
79	4264.291593	235.7084072	Drawdown
80	4263.741082	236.2589179	Drawdown
81	4263.197232	236.8027677	Drawdown
82	4262.659883	237.3401169	Drawdown
83	4262.12888	237.8711203	Drawdown
84	4261.604073	238.3959272	Drawdown
85	4261.085318	238.9146817	Drawdown
86	4260.572477	239.427523	Drawdown
87	4260.065565	239.9344349	Drawdown
88	4259.564171	240.4358295	Drawdown
89	4259.068301	240.9316987	Drawdown
90	4258.577836	241.422164	Drawdown
91	4258.092657	241.9073426	Drawdown
92	4257.612652	242.3873481	Drawdown
93	4257.13771	242.8622903	Drawdown
94	4256.667724	243.3322759	Drawdown
94.18387295	4256.581838	243.4181622	Drawdown
95	4256.202592	243.7974078	Drawdown
96	4255.742214	244.257786	Drawdown
97	4255.286493	244.7135074	Drawdown
98	4254.835334	245.1646659	Drawdown
99	4254.388648	245.6113525	Drawdown
100	4253.946344	246.0536556	Drawdown
101	4253.508339	246.491661	Drawdown
102	4253.074548	246.925452	Drawdown
103	4252.644891	247.3551093	Drawdown
104	4252.219131	247.7808685	Drawdown
105	4251.797492	248.2025083	Drawdown
106	4251.379755	248.6202449	Drawdown
107	4250.96585	249.0341503	Drawdown
108	4250.555705	249.4442947	Drawdown
109	4250.149254	249.8507465	Drawdown
110	4249.746428	250.2535719	Drawdown
111	4249.347164	250.6528355	Drawdown
112	4248.9514	251.0486003	Drawdown
113	4248.559073	251.4409275	Drawdown
114	4248.170123	251.8298766	Drawdown
115	4247.784494	252.2155057	Drawdown
115.7984515	4247.478934	252.5210661	Drawdown
116	4247.402129	252.5978714	Drawdown
117	4247.022971	252.9770289	Drawdown
118	4246.646968	253.3530317	Drawdown
119	4246.274068	253.7259323	Drawdown
120	4245.904218	254.0957818	Drawdown
121	4245.53737	254.4626299	Drawdown
122	4245.173566	254.8264343	Drawdown
123	4244.812584	255.1874162	Drawdown
